Time,enc_1, enc_2,Robx,Roby,PlayerX, PlayerY,CirclePosX, CirclePosY,circleRadius,TargetPos1,TargetPos2,targetRadii,CurrentStat
2024-05-23 13:52:07.677,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:07.700,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:07.705,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:07.712,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:07.739,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:07.745,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:07.769,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:07.775,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:07.781,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:07.805,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:07.825,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:07.845,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:07.849,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:07.857,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:07.863,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:07.890,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:07.895,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:07.902,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:07.925,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:07.929,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:07.937,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:07.961,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:07.982,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:07.999,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:08.004,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:08.013,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:08.020,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:08.046,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:08.052,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:08.057,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:08.087,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:08.092,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:08.118,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:08.140,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:08.164,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:08.169,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:08.176,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:08.203,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:08.211,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:08.234,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:08.239,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:08.246,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:08.272,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:08.293,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:08.314,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:08.320,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:08.327,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:08.351,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:08.357,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:08.362,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:08.392,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:08.399,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:08.423,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:08.448,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:08.469,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:08.477,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:08.485,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:08.513,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:08.519,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:08.545,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:08.551,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:08.557,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:08.582,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:08.607,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:08.630,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:08.638,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:08.644,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:08.672,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:08.679,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:08.706,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:08.712,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:08.737,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:08.758,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:08.781,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:08.787,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:08.793,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:08.820,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:08.827,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:08.834,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:08.856,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:08.862,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:08.869,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:08.894,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:08.915,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:08.935,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:08.942,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:08.948,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:08.974,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:08.982,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:08.987,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:09.013,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:09.019,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:09.025,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:09.051,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:09.072,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:09.097,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:09.103,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:09.108,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:09.135,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:09.142,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:09.149,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:09.176,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:09.182,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:09.207,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:09.227,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:09.249,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:09.256,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:09.263,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:09.290,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:09.295,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:09.304,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:09.329,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:09.335,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:09.342,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:09.366,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:09.387,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:09.407,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:09.413,0,0,0,-4.368,,,,,,,,,
2024-05-23 13:52:09.419,0,0,0,-4.368,,,,,,,,,
